Country_Name,Country_Code,year,surface_pct
Austria,AUT,1990,45.7213611
Belgium,BEL,1990,23.25411335
Bulgaria,BGR,1990,30.07321703
Cyprus,CYP,1990,17.43614719
Czech Republic,CZE,1990,34.02355377
Germany,DEU,1990,32.36616733
Denmark,DNK,1990,12.53691908
Spain,ESP,1990,27.84050136
Estonia,EST,1990,52.04057561
Finland,FIN,1990,71.81893693
France,FRA,1990,26.36394517
United Kingdom,GBR,1990,11.48266027
Greece,GRC,1990,25.59
Croatia,HRV,1990,33.08889286
Hungary,HUN,1990,20.18359853
Ireland,IRL,1990,6.701117724
Italy,ITA,1990,25.80582095
Lithuania,LTU,1990,31.03063178
Luxembourg,LUX,1990,
Latvia,LVA,1990,51.01614252
Malta,MLT,1990,1.09375
Netherlands,NLD,1990,10.22896919
Poland,POL,1990,28.9986614
Portugal,PRT,1990,37.14754098
Romania,ROU,1990,27.77850447
Slovak Republic,SVK,1990,39.95841996
Slovenia,SVN,1990,58.98709037
Sweden,SWE,1990,68.38962811
Austria,AUT,1991,45.79700896
Belgium,BEL,1991,23.22608166
Bulgaria,BGR,1991,30.1166049
Cyprus,CYP,1991,17.54978355
Czech Republic,CZE,1991,34.02355377
Germany,DEU,1991,32.38163435
Denmark,DNK,1991,12.63165841
Spain,ESP,1991,28.47907056
Estonia,EST,1991,52.04057561
Finland,FIN,1991,72.00617551
France,FRA,1991,26.51954285
United Kingdom,GBR,1991,11.55540859
Greece,GRC,1991,25.82404112
Croatia,HRV,1991,33.08889286
Hungary,HUN,1991,20.30295983
Ireland,IRL,1991,6.946029903
Italy,ITA,1991,26.07085784
Lithuania,LTU,1991,31.03063178
Luxembourg,LUX,1991,
Latvia,LVA,1991,51.01614252
Malta,MLT,1991,1.09375
Netherlands,NLD,1991,10.27094194
Poland,POL,1991,29.05644977
Portugal,PRT,1991,37.01857923
Romania,ROU,1991,27.7630088
Slovak Republic,SVK,1991,39.95841996
Slovenia,SVN,1991,58.98709037
Sweden,SWE,1991,68.41399815
Austria,AUT,1992,45.87265682
Belgium,BEL,1992,23.19804997
Bulgaria,BGR,1992,30.15999277
Cyprus,CYP,1992,17.66341991
Czech Republic,CZE,1992,34.02355377
Germany,DEU,1992,32.39710137
Denmark,DNK,1992,12.71440019
Spain,ESP,1992,29.11763976
Estonia,EST,1992,52.19386648
Finland,FIN,1992,72.1934141
France,FRA,1992,26.67514053
United Kingdom,GBR,1992,11.6281569
Greece,GRC,1992,26.05808146
Croatia,HRV,1992,33.21409408
Hungary,HUN,1992,20.42232113
Ireland,IRL,1992,7.190942082
Italy,ITA,1992,26.33589473
Lithuania,LTU,1992,31.26994257
Luxembourg,LUX,1992,
Latvia,LVA,1992,51.2348061
Malta,MLT,1992,1.09375
Netherlands,NLD,1992,10.31291469
Poland,POL,1992,29.11423814
Portugal,PRT,1992,36.88961749
Romania,ROU,1992,27.76082977
Slovak Republic,SVK,1992,39.95841996
Slovenia,SVN,1992,59.43396226
Sweden,SWE,1992,68.43836818
Austria,AUT,1993,45.94830467
Belgium,BEL,1993,23.17001828
Bulgaria,BGR,1993,30.20338064
Cyprus,CYP,1993,17.77705628
Czech Republic,CZE,1993,34.05954445
Germany,DEU,1993,32.41349679
Denmark,DNK,1993,12.8090502
Spain,ESP,1993,29.75620895
Estonia,EST,1993,52.27169144
Finland,FIN,1993,72.38065268
France,FRA,1993,26.83073821
United Kingdom,GBR,1993,11.70090522
Greece,GRC,1993,26.29212258
Croatia,HRV,1993,33.27669469
Hungary,HUN,1993,20.5439684
Ireland,IRL,1993,7.43585426
Italy,ITA,1993,26.60093162
Lithuania,LTU,1993,31.38959796
Luxembourg,LUX,1993,
Latvia,LVA,1993,51.34413789
Malta,MLT,1993,1.09375
Netherlands,NLD,1993,10.35488744
Poland,POL,1993,29.17202651
Portugal,PRT,1993,36.76065574
Romania,ROU,1993,27.75865075
Slovak Republic,SVK,1993,39.54592516
Slovenia,SVN,1993,59.65739821
Sweden,SWE,1993,68.46273822
Austria,AUT,1994,46.02395253
Belgium,BEL,1994,23.14198659
Bulgaria,BGR,1994,30.24676851
Cyprus,CYP,1994,17.89069264
Czech Republic,CZE,1994,34.06972952
Germany,DEU,1994,32.42989316
Denmark,DNK,1994,12.90370021
Spain,ESP,1994,30.39477815
Estonia,EST,1994,52.3495164
Finland,FIN,1994,72.56789126
France,FRA,1994,26.98633589
United Kingdom,GBR,1994,11.77365354
Greece,GRC,1994,26.52616292
Croatia,HRV,1994,33.3392953
Hungary,HUN,1994,20.66334298
Ireland,IRL,1994,7.680766439
Italy,ITA,1994,26.86596852
Lithuania,LTU,1994,31.50925335
Luxembourg,LUX,1994,
Latvia,LVA,1994,51.45346968
Malta,MLT,1994,1.09375
Netherlands,NLD,1994,10.39686019
Poland,POL,1994,29.22981488
Portugal,PRT,1994,36.63169399
Romania,ROU,1994,27.75042482
Slovak Republic,SVK,1994,39.54370062
Slovenia,SVN,1994,59.88083416
Sweden,SWE,1994,68.48710825
Austria,AUT,1995,46.09960039
Belgium,BEL,1995,23.11395491
Bulgaria,BGR,1995,30.29015638
Cyprus,CYP,1995,18.004329
Czech Republic,CZE,1995,34.07991459
Germany,DEU,1995,32.44629046
Denmark,DNK,1995,12.99835022
Spain,ESP,1995,31.03334735
Estonia,EST,1995,52.42734135
Finland,FIN,1995,72.75512985
France,FRA,1995,27.14193358
United Kingdom,GBR,1995,11.84640185
Greece,GRC,1995,26.76020403
Croatia,HRV,1995,33.4018959
Hungary,HUN,1995,20.78271756
Ireland,IRL,1995,7.925678618
Italy,ITA,1995,27.13100541
Lithuania,LTU,1995,31.62890874
Luxembourg,LUX,1995,
Latvia,LVA,1995,51.56280147
Malta,MLT,1995,1.09375
Netherlands,NLD,1995,10.43883294
Poland,POL,1995,29.28760325
Portugal,PRT,1995,36.50273224
Romania,ROU,1995,27.75066452
Slovak Republic,SVK,1995,39.54147609
Slovenia,SVN,1995,60.10427011
Sweden,SWE,1995,68.51147829
Austria,AUT,1996,46.17524824
Belgium,BEL,1996,23.08592322
Bulgaria,BGR,1996,30.33354425
Cyprus,CYP,1996,18.11796537
Czech Republic,CZE,1996,34.09009965
Germany,DEU,1996,32.4626887
Denmark,DNK,1996,13.09300024
Spain,ESP,1996,31.67191655
Estonia,EST,1996,52.50516631
Finland,FIN,1996,72.94236843
France,FRA,1996,27.29753126
United Kingdom,GBR,1996,11.91915017
Greece,GRC,1996,26.99424515
Croatia,HRV,1996,33.42265095
Hungary,HUN,1996,20.90209214
Ireland,IRL,1996,8.170590797
Italy,ITA,1996,27.3960423
Lithuania,LTU,1996,31.74856414
Luxembourg,LUX,1996,
Latvia,LVA,1996,51.67213326
Malta,MLT,1996,1.09375
Netherlands,NLD,1996,10.48080569
Poland,POL,1996,29.34539162
Portugal,PRT,1996,36.37377049
Romania,ROU,1996,27.74485884
Slovak Republic,SVK,1996,39.53925156
Slovenia,SVN,1996,60.32770606
Sweden,SWE,1996,68.53584832
Austria,AUT,1997,46.2508961
Belgium,BEL,1997,23.05789153
Bulgaria,BGR,1997,30.37693212
Cyprus,CYP,1997,18.23160173
Czech Republic,CZE,1997,34.10028472
Germany,DEU,1997,32.48187939
Denmark,DNK,1997,13.18765025
Spain,ESP,1997,32.31048574
Estonia,EST,1997,52.58299127
Finland,FIN,1997,73.12960701
France,FRA,1997,27.45312894
United Kingdom,GBR,1997,11.99189848
Greece,GRC,1997,27.22828549
Croatia,HRV,1997,33.48517328
Hungary,HUN,1997,21.03551225
Ireland,IRL,1997,8.415502976
Italy,ITA,1997,27.66107919
Lithuania,LTU,1997,31.86821953
Luxembourg,LUX,1997,
Latvia,LVA,1997,51.78146505
Malta,MLT,1997,1.09375
Netherlands,NLD,1997,10.52277844
Poland,POL,1997,29.40317999
Portugal,PRT,1997,36.24480874
Romania,ROU,1997,27.7414717
Slovak Republic,SVK,1997,39.53702703
Slovenia,SVN,1997,60.55114201
Sweden,SWE,1997,68.56021836
Austria,AUT,1998,46.32654396
Belgium,BEL,1998,23.02985984
Bulgaria,BGR,1998,30.42031999
Cyprus,CYP,1998,18.3452381
Czech Republic,CZE,1998,34.11046978
Germany,DEU,1998,32.50014326
Denmark,DNK,1998,13.28230026
Spain,ESP,1998,32.94905494
Estonia,EST,1998,52.66081623
Finland,FIN,1998,73.3168456
France,FRA,1998,27.60872662
United Kingdom,GBR,1998,12.0646468
Greece,GRC,1998,27.46232661
Croatia,HRV,1998,33.58969773
Hungary,HUN,1998,21.15496659
Ireland,IRL,1998,8.660415155
